Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
f8655f9a-b23b-4721-856c-a4b1888e7663,,,MM (Myelomeningocele),,,Misc,N/A,,,,,,,,,,,
95c68024-7f01-401f-a187-5009f77090fd,,,PHH (Post-hemorrhagic hydro),,,Misc,N/A,,,,,,,,,,,
316f187c-7816-46b0-bd3b-9b1f0ffbea75,,,Tumor,,,Misc,N/A,,,,,,,,,,,
9813d5d7-adb6-47ce-a3e4-b8ea30e0727f,,,Other,Other,,Misc,N/A,,,,,,,,,,,
281d90fd-b196-4674-a64d-d81e861b6789,,,NPIH (None Post Infectious Hydro),,,Misc,Coded,,AS (Aqueductal Stenosis); CIH (Congenital Idiopathic Hydrocephalus); Cyst; DWC (Dandy-Walker Complex); EC (Encephalocele); MM (Myelomeningocele); PHH (Post-hemorrhagic hydro); Tumor; Other,,,,,,,,,
a7702cb3-29dd-4ef8-b98f-b124d3112376,,,US Evans ration,US Evans ration,,Misc,Text,,,,,,,,,,,
a20e9e83-8577-4570-9388-a0a58bb35e53,,,CT frontal-occipital horn ratio,CT frontal-occipital horn ratio,,Misc,Text,,,,,,,,,,,
b0d17f84-a65c-4971-8967-6465705974ed,,,Congenital hydrocephalus,,,Misc,N/A,,,,,,,,,,,
d77ff269-537f-4934-9e28-3230b37b1c81,,,Documented ventriculitis or meningitis,,,Misc,N/A,,,,,,,,,,,
b4186e70-5cac-41a1-ada8-4477834aad1e,,,Febrile illness,,,Misc,N/A,,,,,,,,,,,
9de86feb-d30d-4431-a7c5-df85b7710c23,,,Fever & seizures,,,Misc,N/A,,,,,,,,,,,
1d52e184-8a53-4516-9de7-94c282e585e5,,,No illness,,,Misc,N/A,,,,,,,,,,,
a71bcbec-2038-4547-b939-abe3ee73b3ab,,,Seizures only,,,Misc,N/A,,,,,,,,,,,
6e1fbbf4-5ccd-49ab-9c3c-eb82d5e79743,,,Trauma,,,Misc,N/A,,,,,,,,,,,
316f187c-7816-46b0-bd3b-9b1f0ffbea75,,,Tumor,,,Misc,N/A,,,,,,,,,,,
87ae1e45-905e-4db6-9161-8974c8f94595,,,Vomiting only,,,Misc,N/A,,,,,,,,,,,
6769ac91-ff22-44ea-b394-693e3d843db8,,,Significant History,Significant History,,Misc,Coded,,Congenital hydrocephalus; Documented ventriculitis or meningitis; Febrile illness; Fever & seizures; No illness; Seizures only; Trauma; Tumor; Vomiting only,,,,,,,,,
78763e68-104e-465d-8ce3-35f9edfb083d,,,TRUE,,,Misc,N/A,,,,,,,,,,,
91dacaf9-2cdb-42b4-8f5b-0c7f85370174,,,Premature birth,Premature birth,,Misc,Coded,,TRUE,,,,,,,,,
2a437c8c-a33d-4047-a9e0-b8f8d4de55b8,,,Home,Home,,Misc,Text,,,,,,,,,,,
354fb048-2ea6-4597-807a-97ae9fd497f7,,,Hospital,Hospital,,Misc,N/A,,,,,,,,,,,
41cc057e-4a36-45fd-8203-cf9cc0417377,,,Birth History,Birth History,,Misc,Coded,,Home; Hospital,,,,,,,,,
93eb209d-f704-46fc-abcd-8ca3560c0db8,,,Age at Illness,Age at Illness,,Misc,Numeric,,,,,,,,,,,
783d24cb-83e5-41dc-993c-f7ecee2a309b,,,Age Onset HC,Age Onset HC,,Misc,Numeric,,,,,,,,,,,
5dc39062-6e22-40f5-b0fb-b969c757d823,,,Age of Presentation,Age of Presentation,,Misc,Numeric,,,,,,,,,,,
eaf60518-2e86-4638-9579-f4be4d7fb6b8,,,Hx Notes,Hx Notes,,Misc,Text,,,,,,,,,,,
abeccd99-e6bc-4b1a-8727-450130205236,,,Hydrocephalus Form,Hydrocephalus Form,,Misc,N/A,,,Hx Code; NPIH (None Post Infectious Hydro); US Evans ration; CT frontal-occipital horn ratio; Significant History; Premature birth; Birth History; Age at Illness; Age Onset HC; Age of Presentation; Hx Notes,,,,,,,,
